id,text,label
8,RT @UAAPconfessions Love looks good on Maddie !!! Ako lang ba yung sobrang masaya kasi may zolo sya ? Before with the past Z medyo lowkey s ,2
12,Ye Ye ..... ye ??????? We gonna start another June on a sour note ? Uhhhh yes no yes ...... no ( yes ) ,2
14,@zWffFY9JGklElA1 @Min _ Of _ Lyching @thakurdadu089 @manakgupta @OfficeOfKNath Mein kahna nae chahta qki mere Yaha btay ,2
23,~ Caring . ~ Bohot Jyada Caring . ~ Courier wale bsdk ke sign bhi khud hi krlete h mera . ,1
24,@AliHZaidiPTI @SarfarazA _ 54 What nonesense ... Kabhi baymani per bani team kamiyab nahi ho sakti ... Jo log apnay liy ,0
26,@imVkohli Best of luck @imVkohli sir World Cup ke liye bhot bhot subhkamnaye ,0
27,Yes . Great dialogues in that one . Also Chupke Chupke over Chhaddabeshi . All except R . G . V . Ke Sholay -) https // t . co / MHCBkX0SnG ,0
38,@mangeshkarlata Desh bhakti baat wahi samajh sakte hai jo khud deshbhakt Wo log to sirf Bharat tere tukde hong ,1
45,Pakistani team ne 105 % effort ki Aagey Allah ki marziiiiiiiiiiiii 😩😫😖😣🥺 #PAKvWI #WIvPAK #CWC19 #WeHaveWeWill ,0
56,@Hussain _ NSharif @MaryamNSharif Kiya tum apne baap ki oulad nahi .?? Kyun usy bay yaro madadgar chora hua . Kiya wo t ,1
59,@TheVijayMallya @YouTube Are Tu aa rha h ki nhi Wo modi phir se PM ban gya Chupchaap aaja sidha sidha Vrna mo ,2
61,@AAPVed @Ankita _ Shah8 Bhadve ye photo elections se pehle ki he .. jyada gyan mat baat ,1
62,@RahulGandhi WADRAAAA NO TO BAS JAMEEN LI HAI--KISANO KO PAISA NAHI DIYA-AB JI NE FILM INDUSTRY NO 1 TAK PAHUNCHAYI ,1
69,Dusting wali safai aapke hafal kharab kardeti hai aur koi exercise bhi nahi hoti . That sucks . ive gained weight an ,1
71,@sanjaynirupam Ab to shamajh jaye Rahul Gandhi kis baat k liye udash hai wo evm jeeta hai modi nahi 70 % log khush na ,1
77,@Sunita _ Sharma1 @sardanarohit @Kavita _ Sharma4 SUNITA JI KAL JAB EVM KI SEAL TUTEGI TO JYADA DARD GODI MEDIA KE ANCHOR KO HOGA ,1
80,Narender modi ji ko pure bhumat se jeet par bhut bhut bdhayi https // t . co / 6AAUDuTxbp ,0
