id,text,label
4330,nen á vist bolest vztek smutek zmatek osam ě lost beznad ě j a nakonec jen klid Asi takhle vypad á m ů j life ... ,2
41616,@nehantics Haan yaar neha 😔😔 kab karega woh post Usne na sach mein photoshoot karna chahiye phir woh post karega ,2
6648,@RahulGandhi television media congress ke liye nhi h . Ye toh aapko pata chal hi gya hoga . Achha hoga ki Congress ke ,1
2512,@AmitShah @narendramodi All India me nrc lagu kare w Kashmir se dhara 370ko khatam kare ham Indian ko apse yahi umid hai ,0
610,@Nehr _ who @TypoMantri @anjanaomkashyap Pagal hai kya ? They aren ’ t real issues Mandir is important Hindu khatre mei jo hai ! ,2
14356,@narendramodi jeet ki dher sari subh kamnaye modi ji asha karta hu jistarah desh ki janta ne khas kar Bihar ki jant ,0
5840,@Fakeionist @SAMjhotaXpress @PLiChapel but topi walay babu ki tau new job hougi humey chutti kesay milay gi ? 😭😭😭😭 ,1
32791,@aajtak @syedasimwaqar @chitraaum @syedzafarBJP Ye modi media walon ko bhi maza ata hai hindu Muslim ke debate karne me ,2
37480,@TarekFatah Baih tere itjey Kya jalti hai Pakistan se @TheRealPCB chutiye khelne de na unhe bc tu Indian bhi nahi h ,1
16395,@desimarthastew Hehe . I saw that coming . And it ’ s actually from someone ’ s shaadi . 🤩 ,2
33428,@ECISVEEP Can you answer miscalculated votes on each seat ? One vote matters ! #deshkamahatyohar hai aur apne dhji ,2
19222,@MahaAli3320 Allah pak os k Dil ka darwaza kbi off nai krta jo sb k lyhe ache ehsas aor Dua Dil ma rkhta ho . Aajzi ,2
8422,@RavishKumarBlog Bahut hi Samajhdari se Cingress ne ye Faisla liya hai . Aur ummeed karta hoon k Desh ke sabhi Party ,2
26930,RT @Mastani4423509 Tu Safar Mera Tu Hi Meri Manzil .... Tere Bina Guzara Aye DiL Hai Mushkil .... 💘🙈 I LOVE U @iamsrk ❤ !! https // t . co / vd3 ,0
40285,Dobar se PM bnne ki aapko dher sari shubhakamnyen ummid hi aapke isa karykala me desh bhut si nyi uplbadhiyon k ,0
21403,@Siitae We can face life together and we can spend my money on the both of us but it ’ s still MY money ,0
35826,waah kisi ne khub likha ke shama khud ko jala ke jaha ko roshan kardeta hai fir kiya tha apne aapne aap ko ba ,0
18017,@its _ tani _ @yabikikainaaat Abe haattt tum flop logo ki aukaad hi Kiya h chutiya log ja aapijaan ki chaplusi kar bad ,1
39736,@marrjao @Shining __ star77 Ohho Very beautiful eyes yarrrrr ,0
15893,EVRYONE SHIT THE FUCK UP https // t . co / RINOmqkPsZ ,1
5433,@atifthepoet haram khor log ulta chor kotowal ko dantey !! Mulk torney ki bat kerney waley ko or phulon ke har pehn ,1
23492,RT @BTS _ army _ Fin Also Stade de France is preparing for the concert . Looks so beautiful !😍 See their post on Instagram 👇🏼 https // t . co / OwhP ,0
13515,@aajtak Jai shree ram Jarurat nahi aandolan ki Guruji Modi h to Mumkinn h Pls trust our PM ,0
34678,Phir se lut chalu ho gaya Bjp walo tumhe kuch chut mil raha hai ya nahi Milna to chahiye q ki ,2
11310,@AmarUjalaNews Jinko khud Nahi pta ki RamcharitManas kya hai wo bhej rahe h BJP neta ko phle khud samjhna Chahiye f ,2
27883,Abe yhi hai ram rajya kya Jisme sbhi sale harami ho Jo sale itne berahm se maar rhe ho Modi dekhna be sale tere ,1
16679,@nsfw _ hs Maybe I'll faing and I won't feel a thing . ,2
26920,Duniya me dil koi kabhi na dadka hota Dadkha hai dil a yar mil ye pyar ka izhar hai Kaho na pyar hai Do premi do p ,2
35982,I'm poor poor-ever happy kase God is with me ,1
14603,Madam @SushmaSwaraj ji we always miss you as a #videsh _ mantri ,0
37801,@abhisar _ sharma @newsclickin Saw the episode . Nice one sir . Maan gaye yaar @abhisar _ sharma sir aap bahut himmat wa ,0
18824,@theskindoctor13 Happy Birthday Doctor sahab 💐 bhagwaan aapko khush or swasth rkhe or aap hme aise hi apni creativity se hansaate rhe 🎂 ,0
21543,@IndiaToday Teri kimat dokodi ki ho gayi ... amit shah will capture telegana soon ... kcr will resign ... ,1
19116,@sahibasafeena @RubikaLiyaquat ek bhe poj bhai wala mahe hai sab chipka ker rakhy hai yeh bhai bahen ka pyar hai ..… https // t . co / KFTAtl7vF9 ,0
44557,@MamataOfficial Mamta Banerjee na Jane ho kyA Hai tumko ye desh Ram Ka Hai #JaiShriRam haar Ka ghum m dubi ho bus b ,1
2359,@sakshijoshii Still far better than MMS govt ... so if u r so connected with numbers and economy .... can u share your ,2
1445,@sunoo _ chanda make a gentle and nice relation with someone .... life me kisi k sahare ki zarort parti ha ,2
5440,@sunoo _ chanda should i hope fr the best - D ,2
7229,Woo hoo Cricket World Cup starts today ! Good luck to hosts @englandcricket in the tournament - hope for a good st ,2
27364,@munneb11 Family background ka keh ni sqtai cause kaee ldkiyan fake naam sai ids banati h n pics upload krti bina ghr walu ki ijazat k 😕😕 ,2
40382,@drmanojrajoria @MaheshY01559101 Mp sahab dr manoj rajoriya g ko Jeet ki haardik subhkamnaye ,0
27897,Koi apna nahi ghum k maare murdered raped fucked shredded to bits hai hum ~ ,1
35758,Back to 100% again !! KARATE CHOPPED THAT COLD QUICKLY . Feels good to FEEL GOOD * waaaaag * ,0
38461,RT @beingAshu52627 @ArvindKejriwal Sadji kisi ne bheja h apke liye https // t . co / 8zKPpflz7H ,2
32467,@nitin _ gadkari Sir badhai ho Sir Agra ke meyar ko smjhao kuch kare .... Modiji Raj is ..... RAMRAJ .... BUT ... https // t . co / 4KbUGTe0Nu ,0
